gender;firstname;lastname;address;city;birthday
M;Pierre;Dardenne;chaussée de l'Europe;Treignes;19880619
F;Sylvie;Daron;route de Forzee, 7;Couvin;19790813
F;Marie;Dascotte;try Pochaux 20;Assesse;19860107
M;Etienne;Dassonville;nouv. chem. de St marc 43;Eghezée;19831125
F;Catherine;Dassy;Rue des Ramiers(BU) 54;Andenne;19830529
F;Louise;Daury;48, rue Victor Genot;Namur;19810824
M;Nadim;Dautremont;rue des juifs 5;Vedrin;19790122
F;Danielle;Dauvin;Rue Pôlet(VD) 55;Namur;19901008
M;Armand;Dauvin;Rue des Roses Trémières(VD) 11;Petigny;20000521
M;Fabrice;David;Allée Saint-Vincent(JB) 47;Bouge;19871031
F;Janel;De  Schryver;rue du belvédère 44 ch 114;Namur;19780822
M;Christian;De Bélie;Avenue du parc 58;Dailly;19790710
M;Freddy;De Beugher;bd Ernest Mélot, 2;Falisolle;19880719
M;Alain;de Biolley;Rue du Collège 12;Floreffe;19820105
M;Jean-Baptiste;De Buyst;rue de Oignies 23;Faux-les -Tombes;19941208
F;Anne;de Dorlodot;Avenue de la Pairelle 42 /0002;Treignes;19830622
M;Olivier;De Faveri;Rue du Petit-Ry, Sauv. 15;Namur;19870828
F;Catherine;De Froyere;rue de Chanvières 15;Oignies-en-Thiérache;19790704
M;Cédric;De Kegel;rue C. Bouvier,90;Namur;19950509
F;Margherite;De Lange;Rue De ForÛt 45 Bte 110;Matagne-la-Petite;19970120
F;Maria Belen;De Leye;Rue Auguste Dandoy 5;Vedrin;19921118
M;Bernard;De Maeyer;Le Val vert 31;Jambes;19911008
F;Eloïne;De Melo;Rue De Copin, 147 Bte 7;Bouge;19840526
M;Thibaut;De Poorter;rue Charles Bouvier, 20;Couvin;19900804
F;Kelly;De Rijk;av. Reine Elizabeth, 62;Nismes;19810504
F;Marjorie;de Ruyter;avenue du Parc 58;Houyet;19790506
M;Christian;De Schietere De L.;chemin des blés, 113;Br¹ly-de-Pesche;19941116
M;Cédric;De Swarte;44, avenue Bauduin 1er;Couvin;19800715
M;Ronald;De Vos;Chemin du Bois de Gazia(SS) 47;Olloy-sur-Viroin;19921110
F;Nadine;De Waegenaere;rue des crayats, 9;Bouge;19800521
F;Rachelle;Deangelis;rue de Hamendes 10/12;Namur;19900901
M;Maxime;Debailleux;;Profondeville;19890124
M;Alois;Debernardi;Rue du Calvaire, March. 1 /A;Boninne;19841126
F;Marie-Christine;Deblaere;rue Général de Monge, 111;Namur;19781009
F;Sylvie;Debled;68, rue Ó l'eau;Namur;19840526
M;Gilles;Debled;rue des croix du feu, 4;Bouge;19990916
M;Veronique;Debliquy;rue du sanctuaire 45;Gelbressée;19801004
M;Matteo;Deblir;Rue du Village(BU) 13;Namur;19820711
M;Didier;Debouche;rue du bois Alexandre 14;Eghezée;19850226
M;Philippe;Debouck;Rue du Wisconsin(NR) 15;Olloy-sur-Viroin;19971212
M;Vincent;Debouny;Chaussée De Perwez 349;Boninne;19880419
F;Julie;Debout;rue de la bowe 25;Couvin;19880315
M;Jean-Pierre;Debraine;Place Baudouin Premier(BU) 4;Eghezée;19870906
F;Carmela;Debras;avenue Arthur Proces 80;Eghezée;19840803
M;Olivier;Debroux;Rue De La Station 40;Namur;19800126
F;Isabelle;Debus;99, rue St Roch;Couvin;19901222
M;Jose;Decastiau;rue Augile 48;Champion;19830701
M;Sebastien;Dechambre;rue de l'Agasse 46;Waret-la-Chaussée;19831201
F;Nadine;Dechamps;Allée de la Closerie(EP) 3;Vedrin;19830322
M;Olivier;Declerck;rue célestin Denis 22;Namur;19820123
F;Léa;Decroyere;Drève Des Bouleaux 50;Vedrin;19831118
F;Hélène;Decrucq;rue Touvent, 15;Namur;19841023
F;Chantal;Defise;Avenue Comte de Smet de Nayer 1 /00;Champion;19790331
F;Véronique;Deflorenne;47, rue de la station;Couvin;19870712
M;Jean-Baptiste;Deflorenne;rue général de Monge, 8;Bouge;19871202
F;Anne;Defossez;rue du cimetière 4;Mazée;19830919
F;Véronique;Defruit;rue Chaufour 50;Frasnes (Nam.);19870619
F;Camille;Degallaix;Allée Saint-Vincent(JB) 47;Couvin;19870127
M;Quentin;Degand;Rue de la Marjolaine(JB) 21;Ham-Sur-Heure;19880129
F;Krystel;Degand;rue préd'Alvaux 11;Namur;19920227
M;Anthony;Degaudinne;1, rue de Wiesme;Gilly (Charleroi);19790223
F;Sandra;Degembre;Rue des Campagnes(WD) 11;Bouge;19841130
M;Frédéric;Degimbe;Chaussée de Charleroi 53;Namur;19840802
F;Isabelle;Deguelle;Rue de Belair(LO) 4;Petigny;19950307
F;Anne-Françoise;Dehandschutter;rue Flache 41;Namur;19790612
F;Vanessa;Dehaspe;rue du fourneau, 8;Matagne-la-Petite;19840704
M;Olivier;Dehout;Rue du Centre(SM) 165;Couvin;19910705
F;Anaïs;Dehu;;Couvin;19910503
F;Juliette;Dejardin;rue Flache 50;Couvin;19891210
M;Romain;Dekens;pace saint Victor 30;Marchovelette;19870131
F;Nadia;DEKNUDDE;Rue du Rond ChÛne(VD) 74;Dinant;19900606
F;Mélusine;Dekoster;86, rue Delhove;Ecaussinnes;19800708
F;Lena;Dekoster;rue du canneveaux,21;Pesche;19810114
F;Anais;Dekoster;rue désiré Sorée 54;Frasnes;19890416
F;Cynthia;Delabaere;rue de la marcelle, 124;Mariembourg;19831219
M;Guy;Delacharlerie;Rue des Faucons(BU) 51 /0105;Le Mesnil;19930928
M;Bernard;Delaite;rue E. Deprez 10;Couvin;19841201
F;Virginie;Delatte;rue du sanctuaire 45;Couvin;19800915
M;Charles;Delbrouck;rue laide coupe 95;Gonrieux;19790825
M;Thierry;Delchambre;Rue De La Falaise 99;Bouge;19810729
M;Olivier;Delcorde;chaussée de Namur 453;Nismes;19860226
F;Anne-Cécile;Delcorte;rue des jardins 53;Namur;19940301
F;Stéphanie;Delcourt;rue de la chasse noel 21;Noville-les-Bois;19810803
F;Delphine;Deleuze;Rue Joseph Wanet(VD) 142 /0103;Namur;19830615
F;Justine;Delforge;rue des chardonnerets, 9;Dourbes;19820716
F;Wahiba;Delforge;rue Père Cambier 10;Br¹ly;19840802
M;Michaël;Delforge;rue de Gramptinne 11;Namur;19860119
F;Marie;Delfosse;Rue Charles Bouvier(BU) 32;Winenne;19860906
F;Anne-Claire;Delfosse;Rue Florimond Baugniet,Dhuy 86;Burdinne;19890502
M;Barbara;Delfosse;rue de seumay, 65;Bouge;19890503
F;Adèle;Delfosse;rue bois de Lahaut 50;Farciennes;19950226
M;Leo;Delhaye;rue de la marcelle 19;Saint-Servais;19801122
M;Nicolas;Delhaye;Rue des Cognassiers(VD) 15;Saint-Servais;19991013
M;Bastien;Delhoye;rue Flache Oignies, 45;Roly;19820927
F;Claire;Delisse;119 rue du centre;Namur;19780703
F;Clémentine;Delmelle;Rue Sergent Delisse(BU) 17;Chimay;19850930
M;Pierre;Delmelle;Rue des Sarazins(CH) 88;Couvin;19870522
M;Bernard;Delmelle;Rue des Faucons(BU) 59;Namur;19920106
M;Olivier;Delorge;rue des pitteurs, 21;Uccle;19930217
M;Florian;Deloyer;rue Ainseveau 44;Couvin;19780727
M;Adrien;Delperdange;rue de vaucelles 28;Namur;19840802
F;Christiane;Delpierre;23, rue de la chapelle;Olloy-sur-Viroin;19931005
F;Céline;Delporte;reu de najauge, 24;Namur;19840806
M;Bernard;Deltour;rue de Revin, 8;Champion;19800110
M;Loic;Delval;rue Grande 23;Namur;19800130
F;Bushra;Delvaux;Les hauts de Meuse 42;Eghezée;19780619
F;Marie-Christine;Delvaux;rue laide coupe 95;Bouge;19790831
M;Michel;Delvaux;Rue Villana(JB) 30 /0004;Yvoir;19800225
F;Marylène;Delvaux;rue des chardonnerets 4;Frasnes;19810723
M;Daniel;Delvaux;rue laide coupe, 87;Gembloux;19940913
F;Manon;Delvaux;rue des Balsamines 42;Bouge;19970908
F;Claudette;Delvenne;rue de Fernelmont 174;Couvin;19930101
F;Christine;Delvigne;Rue des Viaux(NN) 27;Nismes;19941215
F;Aurélie;Delvigne;Rue de la Reine(VD) 8;Houyet;19970724
F;Anne;Delwiche;rue de l'abbaye 33;Namur;19850825
F;Marjorie;Demaret;chemin de l'escail, 2;Namur;19840704
M;Jean-Yves;Demaret;367, chaussée de Louvain;Nismes;19860203
M;Alfred;Demaret;rue roche Albéric 17;Namur;19860907
F;Geneviève;Demaret;rue Pierre Laurent 32;Namur;19940415
F;Beatrice;Demat;rue de la bossette, 1;Nismes;19781128
F;Francine;Demeffe;Avenue du Parc(BU) 4;Namur;19900303
F;Michèle;Demeffe;Rue Sergent Delisse(BU) 5;Cognelée;19900625
M;Andre;Demeuse;rue du grand feu 66;Gelbressée;19790430
M;Léo;Demeuse;Centre des Rièze;Frasnes (Nam.);19810107
M;Jean;Demeuse;rue St Roch, 91;Waha;19901220
F;Catherine;Demoitie;Rue de la Keuture(VD) 44;Namur;19820727
M;Claude;Demolder;Herleuvaux, Durnal 5;Couvin;19960503
M;Thomas;Demoustier;rue St Louis, 22;Namur;19960930
F;Ghislaine;Demptinne;Route De Charemagne;Bastogne;19880328
F;Anaëlle;Denayer;Rue Eugène Hambursin 8;Namur;19820316
F;Sylvie;Denayer;Rue Jean Geuvens(VD) 35;Jambes;19850215
M;Charles;Denet;chaussée de Louvain 367 - 17;Leuze;19790112
M;Jean-Francois;Denil;Chemin du Gros Sous(WP) 48;Namur;19860729
F;Chantraine;Denis;Rue Florimond Bidron(VD) 75;Namur;19800616
M;Julien;Denis;rue des commognes 10;Oignies-en-Thiérache;19831019
F;Ingrid;Denis;Rue de la Dodane 8;Beez;19890731
F;Marie;Denis;rue de la station, 59C;Oignies-en-Thiérache;19900731
M;Alexandre;Denis;rue Van Hasselt 13;Olloy-sur-Viroin;19910826
F;Camille;DEOM;Rue Emile Dessenius(FW) 5;Bouge;19821220
F;Almuth;Depauw;Chaussée De Louvain226;Vedrin;19890510
M;Sébastian;Depickere;rue de la forestière, 384;Namur;19990123
F;Dolly;Deppe;hameau de Géronsart 27;Namur;19780828
F;Francoise;Deraedt;Rue Du Pont 7;Namur;19851112
F;Salomé;Derenne;rue du cimetière d'honneur 25;Jambes (Namur);19871213
M;Michaël;Derissen;chaussée de Louvain 333;Bouge;19960802
M;Simon;Derlet;Rue de la Gare de Cognelée(CG) 15;Namur;19960918
F;Julie;DERMINE;Rue Florimond Bidron(VD) 77;Champion;19910902
F;Say;Desamoury;Rue Es Fays(LO) 26;Petigny;19930607
M;Guillaume;Descamps;Rue de Coquelet 64;Matagne-la-Grande;19890130
M;Quentin;Descamps;4 rue Sanson;Namur;19951127
M;Stéphane;Descy;Rue de Stari Grad(BL) 5;Floreffe;19880525
M;Noé;Deseins;rue Général de Monge 111;Gesves;19830702
F;Astrid;Desmet;rue flache 41;Rhisnes;19791030
M;Louis;Desmet;rue du demasque 14/1;Saint-Servais;19890103
F;Nathalie;Desnoeck;Rue Derenne 33;Namur;19990307
F;Sophie;Desonniaux;route de Givet, 22;Namur;19970919
F;Anne-Marie;Desorbay;Rue De La Falaise 121;Namur;19800627
F;Julie;Despontin;Herbefays 16;Namur;19920708
M;Pierre;Despontin;ch. de Louvain, 467;Couvin;19980709
M;Emeric;Dessambre;Rue Jean Gilson(JB) 17;Namur;19970516
F;Marie;Dessart;Rue Aimé Arnould(BL) 10;Bruxelles;19970910
F;Marine;Desseille;rue basse chaussée 142;Jambes (Namur);19920903
F;Claire;Dessy;rue des usines 18;Saint-Servais;19900504
F;Ge;Destree;rue guyaux, 16;Namur;19850101
F;Annette;Destree;avenue du Panorama 4 /3;Namur;19851121
M;Joseph;Destree;Montagne D'Hastedon 45;Beauraing;19870715
M;Michel;Destree;Rue Des Sports 113;Olloy-sur-Viroin;19940809
F;Francoise;Desy;rue tienne du Loret 16;Bouge;19980331
M;Hamdi;Detal;rue de Nampois, 15;bouge;19780619
F;Bernadette;Detraux;rue petite foret 4;Bouge;19850327
F;Françoise;Deval;rue j. Durieux 12;bouge;19860610
F;Launora;DEVEMY;Rue Massart, Nov. 39;Namur;19861210
M;Abderrahim;Devillez;rue de la chapelle, 9;Cognelée;19990416
M;Didier;Devosse;Allée Des Rouges Gorges 5;Namur;19941107
M;Rohan;Devrieze;11,rue du lion;Namur;19880717
M;Robin;Dewez;Rue Gustave Laforge(CH) 16;Bouge;19950110
F;Virginie;Dewitte;Rue de Pitteurs(BU) 7;Champion;19901003
F;Nicole;D'Hayer;rue pairière, 16;Namur;19810701
F;Ajlin;Di Primo;chaussée de Waterloo, 300;Eghezée;19860216
F;Colette;Dieu;Rue De La Grotte 28;Hamois;19921005
M;Francois;Dieudonne;rue St Joseph, 78;Dailly;19811222
F;Boutayna;Dieudonné;faubourg Saint Germain 46;Malonne;19790303
M;Léopold;Dimitriadis;Rue de Sardanson(BU) 22;Malonne;19940512
M;Guillaume;Dinjart;;Namur;19930910
M;Joseph;Dirich;6, Rue Ste Barbe;Matagne-la-Grande;19930620
M;Michaël;Dispa;rue du Hamia 8;Cognelée;19831217
M;Julien;Dock;rue Charles Bouvier, 84;Namur;19910718
F;Ludivine;Dombret;rue florent Delvaux, 11;Vedrin;19830519
M;Paul_emmanuel;Dombret;Rue du Bataillon des Canaris(BU) 23;Saint-Marc;19900301
M;Jean-Pierre;Domingues Afonso;Rue Magotte(Herm) 13;Profondeville;19820408
M;Radovan;Donadello;rue des combattants de Beez 10;Forville;19860429
F;Loretta;Doneux;47 rue de la station;Namur;19940602
F;Valérie;Donnay;rue Monique 9;Villers-le-Gambon;19860128
F;Veronique;Donnay;rue pré des velus 19;Couvin;19870116
F;Luisa;Dortu;Rue De La Pernelle 4;Namur;19870615
F;Perrine;Dortu;rue de Pernelle 2;Morville;19871009
M;Andre;Dorval;Rue de Tillier, March. 38;Dailly;19860505
F;Pauline;Dossogne;Chaussée de Liège(JB) 42;Namur;19891101
F;Zoe;Dothée;Rue de la PÛcherie(BU) 10;Vedrin;19820828
F;Monique;Doucet;rue champÛtre 52;Bouge;19820803
F;Elif;Draguet;rue Ainseveau 44;Boninne;19780601
M;Jérôme;Draye;rue de ForÛt, 66;Petite-Chapelle;19820809
F;Clemence;Dresse;Rue des Trois Piliers(SS) 130;Ottignies-Louvain-la-Neuve;19960425
M;Luigi;Dromelet;;Vedrin;19800513
F;Marie;Dromelet;Rue De La Loresse 6;Andenne;19821030
F;Yolanda;Dromelet;rue Jean Chot 50;Jambes (Namur);19890130
M;Christian;Dromelet;place Saint Lambert3;Belgrade;19890806
M;Jean-Baptiste;Dromelet;allée Albert I, 120;Mazée;20000510
M;Pierre;Dropsy;Chaussée de l 'Europe, 117;Presgaux;19991029
M;Eric;Droussin;Rue Lucien NamÛche 48 /ET02;Wépion;19890822
M;Théo;Druart;rue A. Thomas, 4;Couvin;19930707
F;Caroline;Du Bois;rue d'acosse 5 A;Gesves;19920219
F;Manon;Dubail;Rue du Sanctuaire(BU) 78;Namur;19910214
F;Murielle;Dubiel;rue piersotte 1;Gelbressée;19920916
M;Marius;Dubois;rue du herdeau 52;Boninne;19801122
M;Dimitri;Dubois;avenue des églantiers 1;Namur;19840202
F;Beatrice;Dubois;Wolvendreef 67;Namur;19860710
F;Maud;Dubois;Rue De Ramiers 38;La Bruyère;19870805
M;Arnaud;Dubois;Rue des Millepertuis(BL) 2;Anhée;19890823
M;Michel;Dubrunfaut;rue Léandre Legros, 17;Malonne;19860921
M;Oswald;Dubuc;rue St Nicolas 7;Namur;19811229
M;Corentin;Dubucq;rue de Mariembourg, 18;Namur;19810503
M;Bertrand;Dubucq;Rue de Pitteurs(BU) 5;Boninne;19821003
M;Thomas;Dubuisson;Rue De L'Escaille 255;Ramillies;19800220
M;David;Duchene;96 rue de prés;Aublain;19900921
M;Benoît;Duchene;Rue des Myrtilles(BZ) 18;Beauraing;19961211
F;Marie-Catherine;Ducoeur;;Namur;19890116
F;Emilie;Ducoffre;Rue Neuve 35;Yvoir;19810518
F;Madeleine;Ducoffre;Verte Place 2/1;Oignies-en-Thiérache;19850116
M;Baptiste;Duesberg;7 rue de la Dodane;Namur;19990924
F;Oliva;Dufour;Rue Charles Degalan(FW) 50;Namur;19801001
M;Gregory;Dujardin;rue Alphonse Hottat, 12;Bouge;19810928
M;Térence;Dujardin;route de Charlemagne 14;Oignies-en-Thiérache;19850623
M;Michel;Dujardin;rue de France 21;Bouge;19850722
M;Xavier;Dujardin;rue Générl de Monge 103;Feschaux;19871026
M;ELTON;Dujardin;Boulevard d'Herbatte 65;Namur;19880620
M;Dimitri;Dujardin;rue Saint Louis 19;Gelbressée;19950512
F;Jaymantee;Dumais;Rue Des 5 Francais;Jemappes;19860327
M;Philippe;Dumonceaux;rue de la chapelle 11A;Bouge;19940823
M;Etienne;Dumont;Rue de la Laderie, Emines 1;Olloy-sur-Viroin;19840525
M;Jean-Pierre;Dumont;Rue du Pré-au-Loup(NN) 67;Namur;19850812
M;Richard;Dumont;Avenue Reine Elisabeth(BZ) 209;Presgaux;19860317
M;Eliot;Dumont;Rue Del'Grete 41;Namur;19960627
F;Josette;Dupire;Rue Nouvelle, Soye 4;Saint-Servais;19900916
M;Mathias;Duplicy;rue des huileries 20;Namur;19890929
F;Pauline;Dupont;359, chaussée de Louvain;Namur;19780928
M;Fernand;Dupont;route de Charlemagne 11;Vedrin;19791114
F;Caroline;Dupont;Allée du moulin Ó vent 49;Philippeville;19831123
F;Carine;Dupont;Rue De La Marcelle 156;Namur;19900528
M;Giovanni;Duprez;Rue de la Fontaine(CG) 77;Namur;19890425
M;François;Dupuis;Rue des Bruyères,Dhuy 189 /Bte4;Belgrade;19870724
F;Marie;Durbecq;rue Mesange, 11;La Bruyère;19890412
F;Carine;Duriaux;rue grande, 1;Héron;19780904
M;Arnaud;Duriaux;Rue Du Calvaire 74;Erpent;19830122
F;Martine;Dursin;rue Arthur Masson, 21;Namur;19821104
F;Marie-Juliette;Dursin;rue de Niverlee, 21;Br¹ly-de-Pesche;19840828
F;Sonia;Dussenne;rue des prés velus, 61;Perwez;19831026
F;Marie-Noëlle;Duton;Rue des Champs Verts(CH) 13;Eghezée;19850803
M;Patrick;Dutrieux;Rue Laide Coupe(BL) 76;Namur;19950123
M;Gilbert;Dutry;Ch. des Abeilles-Clos du Chesne 1;Waret-la-Chaussée;19840906
F;Romane;Duvivier;49, Chemin Des Mailaises;Namur;19920205
F;Marion;Duyver;rue des lavandières, 7;Namur;19800626
F;Anne-Marie;Echement;Rue Eugène Copette(CH) 10;Namur;19800516
F;Maxence;Eggermont;Rue de Courrière 41;bouge;19881023
M;Claude;Eglem;rue St georges 37;Namur;19791124
F;Marina;El Housny;Av De Waterloo, 68;Mariembourg;19851008
F;Moyra;Elias;Rue du Rivage(Mél.) 80;Nismes;19961216
M;Xavier;Elman;rue des chirennes, 2A;Andenne;19910209
F;Alexia;Elvira;rue de la rose des vents, 35;Matagne-la-Grande;19891201
M;Serge;Emmerich;Place Victor Cornet(SS) 34;Jemeppe-sur-Sambre;19970812
F;Martine;Empereur;rue des calvaires,5;Olloy-sur-Viroin;19820419
F;Isabelle;Engelen;rue J. Wauters 193;Namur;19801127
F;Maria;Engels;Rue des Ramiers(BU) 23;Namur;19920801
M;Fatih;Englebert;70, rue de Winenne;Nismes;19780619
M;Léon;Englebert;Rue Florimond Baugniet,Dhuy 19 /A;Couvin;19960713
F;Sabine;Englebin;Rue Darville,9;Namur;19890111
F;Andrée;Erpicum;rue Sainte Anne 142;Matagne-la-Petite;19860106
M;Robert;Etienne;rue J. Eusèbe 16;Mozet;19801031
M;Michel;Etienne;Avenue Vauban 61 /0010;Velaine-sur-Sambre;19870717
F;Anne;Etienne;rue Sainte Begge 9;Olloy-sur-Viroin;19900215
M;Clément;Eugene;rue Cheravoie 27;Saint-Servais;19970116
F;Sevil;Everaert;Rue du Centre(SM) 208;Malonne;19870207
F;Maud;Evrard;Boulevard de la Meuse(JB) 42 /0008;Couvin;19820102
F;Katharina;Evrard;Rue François Bovesse(VD) 49;Bouge;19831113
F;Mélanie;Evrard;rue Polet 24;Couvin;19931109
M;Gauthier;Eyskens;Rue Pré des Manants(CH) 18;Mariembourg;19940509
F;Michèle;Fabri;rue St Eloi, 21;Flawinne;19800924
F;Sarah;Falque;Rue Arthur Joseph Piersotte(BU) 30;Eghezée;19991007
F;Bernadette;Fannes;Rue de la Jonquière(CH) 34;Vedrin;19930616
M;Jean-Baptiste;Fanuel;rue des oeillets 44;Warisoulx;19870523
M;Hugo;Fastenackels;rue St Luc 10;Namur;19860225
F;Annick;Fastenakels;Rue des Chardonnerets(BU) 12;Mazée;19951129
F;Daphnée;Fastre;Allée Des Geais 66;;19810508
F;Caroline;Favresse;Chemin Du Calvaire;Namur;19990817
M;Denis;Fayt;Route du Condroz(N) 144;Namur;19840823
M;Benoit;Feller;Rue de Maizeret(LO) 135;Namur;19870811
F;Magali;Feraille;Rue Jean Geuvens(VD) 15;Namur;19810603
F;Eve-Marie;Ferdinand;Rue des Chardonnerets(BU) 12;Petigny;19910824
F;Lorraine;Fernandes;rue du perron 11 A;Matagne-la-Grande;19810518
M;Felipe;Fernandes;rue général de Monge, 168;Vierves-sur-Viroin;19830718
F;Clemence;Fernandes;rue bout de la ruelle, 5;Treignes;19951211
M;Etienne;Fernandes;rue du hachet, 2;Focant;19970828
F;Anne-Sophie;Feron;Rue du Bocage 89;Couvin;19960804
F;Catherine;Fiasse;124 rue charles Bouvier;Gonrieux;19870801
F;Anne-Catherine;Fiasse;Chaussée de Wavre 1;Mornimont;19890405
M;Yves;Fichet;rue grande, 24;Fernelmont;19810730
M;Baudouin;Finck;rue roche Ó l'homme, 1;Cognelée;19870714
M;Stanislas;Firmin;rue pied de la montagne 12;Namur;19790915
M;Serge;Fischer;45 rue de la Montagne;Namur;19860902
M;Jean-Marie;Fisse;rue Joseph Wanet 45;Pousset;19861018
F;Clara;Fissette;Rue Ducimetière D'Honneur 2;eghezée;19781228
M;Federico;Fissette;rue de France, 24;Namur;19790722
M;Benoît;Fivet;Rue de Coquelet(BU) 231;Br¹ly;19820809
F;Ludivine;Fontaine;ruelle Crascot, 18;Couvin;19811126
F;Charlotte;Fontaine;rue Ry d'Olo, 51A;Profondeville;19871124
F;Julie;Fontaine;rue de la place 35;Gesves;19880125
F;Sandrina;Fontaine;Chaussée de Louvain(BU) 363 /0003;Mariembourg;19901207
M;Benjamin;Fontaine;rue de Fagnolle 44;Petigny;19921026
M;Benoit;Fontaine;rue de Couvin 4/1;Flawinne;19971226
F;Geraldine;Fonteyn;Rue des Myrtilles(BZ) 16;Nismes;19841227
F;Marie;Foqueur;rue du centre 3;Heer;19781027
F;Sophie;Fortemps;rue Marcel Moreau, 10;Septon;19810430
F;Gwennaelle;FOSSION;Rue Bois d'Esneux(BN) 82;La Bruyère;19970419
F;Carine;Fouarge;rue Emile NoÛl 21;La Bruyère;19901218
F;Nicole;Foubert;Route de la Hesbaye 360;St Servais;19880706
M;Thierry;Fourfooz;Rue Ainseveau, 44;Champion;19780719
M;Julien;Fourfooz;rue de la croisette, 62;Pesche;19870531
M;Carlos;Fourie;chaussée de Louvain 367;Couvin;19810114
F;Elisabeth;FOURNEAU;Chaussée de Louvain(BU) 367 /0010;Fernelmont;19801227
M;Guillaume;Francis;Avenue Parc d'Amée(JB) 11 /0006;Namur;19960109
M;Philippe;Francois;139, résidence Emile Donnay;Nismes;19781120
M;Christian;Francois;rue de l'adoption 4;Namur;19890921
F;Suzanne;Francois;Avenue Arthur Procès 18 /A;Branchon;19900620
F;Virginie;Francois;chaussée de Charleroi 599;Boninne;19911215
F;Eline;Francois;rue des mines 3;Namur;19940620
M;Pierre;Franquet;Rue Léon Lefevre, 17;Champion;19830113
M;Henry;Franquien;ch. de Dinant 848;Mesnil-Saint-Blaise;19900704
M;Jérome;Franquin;Rue Sergent Delisse(BU) 1;Namur;19850918
F;Fatima;Fraselle;route de Wasseige, 6;Br¹ly-de-Pesche;20000607
F;Yvette;FRERE;Rue de la Reine(VD) 22;Profondeville;19860712
M;Yannick;Freres;Rue De Fernelmont 139;Belgrade;19820311
F;Camille;Frerlet;Rue de Baillamont, Graide 25;Presgaux;19790122
F;Virginie;Freteur;rue Notre Dame, 89bis;Namur;19841030
M;Olivier;Frippiat;route de Wespin, 84;Namur;19871106
F;Sylvie;Fritsch;rue Louis Delimoy 3;Saint-Servais;19790809
F;Monique;Fulster;Rue des Dalhias(BU) 6;Andenne;19920505
F;Garance;FURNEMONT;Rue Joseph Debehogne(VD) 10;Halma;19851228
M;Pablo;Fyon;vieux chemin de Nivellles 19;Namur;19890815
M;Antonio;Fyon;Route de Hannut(BU) 49;Mariembourg;19900429
F;Patricia;Gaillard;rue copette 25;Namur;19821226
M;Jean-Christophe;Gailly;tienne de Boussu;Haut Charage;19890108
F;Christiane;Galante;Rue St Eloi 23;Andenne;19811215
F;Claudine;Galante;Rue De Rocroi 38;Namur;19830127
M;Maxime;Galante;rue de Niverlee, 21;Vedrin;19850925
F;Kathleen;Galante;Allée du Roi Albert 1er, 20;Namur;19931008
M;Dominique;Galère;;Namur;19790507
F;Beatrice;Galloy;Rue des Cognassiers(VD) 10;Nismes;19880722
M;Olivier;Gans;rue basse chaussée 142;Namur;19951007
M;Michel;Garcia Narciandi;chée de Fagnolle 10;Erquelinnes;19791205
F;Joëlle;Garot;Rue des Faucons(BU) 34;Wanlin;19810808
F;Marine;Gaspard;Domaine De Bouvreuils 8;Bouge;19821015
M;Alexandre;Gastout;Rue des Bruyères, C.-W. 13;Bouge;19900929
M;Mustafa;Gaudriaux;rue de la chavée, 21;Vedrin;19831226
F;Aurélie;Geiger;Rue Gustave Guidet(VD) 1;Couvin;19951122
M;Emile;Genard;;Namur;19881230
M;Jerome;Genette;Uilstraat, 14;Villers-en-Fagne;19920513
F;Nathalie;Genicq;rue de Oignies;Namur;19801203
F;Carine;George;Rue Major Mascaux 3;Erpent;19790327
F;Danielle;George;rue père Cambier 13;Eghezée;19870630
M;Arthur;Georges;rue d'en haut, 26A;Saint-Servais;19860304
F;Maureen;Georges;Rue Du Chaufour 17;Namur;19920114
F;Mathilde;Georgiou;Boulevard d'herbatte 49;Namur;19881020
F;Paula;Georis;Rue des Faucons(BU) 59;Frasnes (Nam.);19920813
F;Ellen;GERARD;Rue de ForÛt(BZ) 22;Hannut;19800114
M;Olivier;Gerard;Rue du Sanctuaire(BU) 64;Franière;19820812
F;Catherine;Gerard;rue de la fontaine, 71;Jemeppe-sur-Sambre;19820914
F;Cécile;GERARD;Rue Eugène Copette(CH) 4;Namur;19880520
M;Patrick;Gerard;Rue Bois des Maires(CG) 10;Couvin;19910908
M;Nathan;Gerard;rue bout de la ruelle, 5;Vedrin;19920904
M;Anthony;Gérard;Rue de Gueulette(VD) 29;Nismes;19791227
M;Benjamin;Gérard;Rue du Rond ChÛne(VD) 74;Couvin;19890421
F;Nathalie;Gérard;Rue de la Keuture(VD) 31;Jambes (Namur);19900129
F;Francine;Gérard;rue des croisiers 31;Vedrin;19981216
F;Emilie;Germain;chaussée de Louvain 266;Lescaillere;19900406
M;Tom;Geulette;rue P Thome 41;Hamois;19801220
F;Catherine;Geurinckx;rue Martinsart, 19;Namur;19980526
F;Marie-Eve;Geury;Avenue de Celles(VD) 1;Saint-Servais;19860309
M;Gabriel;Gezels;Rue de la Fossette(LO) 9;Vedrin;19880921
F;Floriane;Ghenne;rue des basalmines 42;Vedrin;19960103
M;Carl-Lionel;Ghijs;Rue des Ramiers(BU) 68;Waret-la-Chaussée;19841120
F;Marie-Josee;Ghyse;37, rue de la maladrée;Dinant;19871205
M;Pierre;Gibon;rue du rond ChÛne 3;Vedrin;19910710
F;Manon;Gielen;chaussée de Louvain 582;Couvin;19860728
M;Jean jacques;Gilet;;Mariembourg;19791221
